%,RPM,Empuje,Par,Intensidad,Voltaje
0,9973.4,121843,124020,0.55,0.0
10,99502.48,121880,145410,0.63,0.0
20,99502.48,121846,139398,0.69,0.0
30,7368.29,121855,136614,0.73,0.0

Kt,211367.2464025948
Kv,0.0
Potencia Eléctrica (W)
0.0,0.0,0.0,0.0
Potencia Mecánica (W)
129527976.94820562,1515154073.1019857,1452509782.5615199,105412117.11729945
Rendimiento,0.0
